
Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:00:18 2025

Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_8.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:01:42 2025

Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_8.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:02:53 2025

Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_8.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:03:57 2025

Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_8.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 11:37:19 2025

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2679381
Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_8.txt.log"
Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Set parameter TimeLimit to value 1800
Set parameter Threads to value 1
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (linux64 - "Ubuntu 24.04.1 LTS")

CPU model: 13th Gen Intel(R) Core(TM) i7-1355U, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1800
Threads  1

Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Optimize a model with 5002 rows, 6000 columns and 66296 nonzeros
Model fingerprint: 0x21b3ea64
Variable types: 0 continuous, 6000 integer (1000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+01]
  Objective range  [1e+00, 4e+01]
  Bounds range     [1e+00, 2e+01]
  RHS range        [1e+00, 2e+03]
Found heuristic solution: objective 1524.0000000
Presolve removed 0 rows and 78 columns
Presolve time: 0.32s
Presolved: 5002 rows, 5922 columns, 66140 nonzeros
Variable types: 0 continuous, 5922 integer (1324 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    4094    2.7161878e+03   1.148259e+03   0.000000e+00      5s
    5601    2.6806369e+03   0.000000e+00   0.000000e+00      8s

Root relaxation: objective 2.680637e+03, 5601 iterations, 7.18 seconds (2.34 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2680.63687    0  468 1524.00000 2680.63687  75.9%     -    7s
H    0     0                    1541.0000000 2680.63687  74.0%     -    7s
H    0     0                    1776.0000000 2680.63687  50.9%     -    8s
H    0     0                    1878.0000000 2680.63687  42.7%     -    8s
H    0     0                    2031.0000000 2680.63687  32.0%     -    8s
H    0     0                    2149.0000000 2680.63687  24.7%     -    8s
H    0     0                    2151.0000000 2680.63687  24.6%     -    8s
H    0     0                    2153.0000000 2680.63687  24.5%     -    8s
H    0     0                    2162.0000000 2680.63687  24.0%     -    9s
H    0     0                    2192.0000000 2680.63687  22.3%     -    9s
H    0     0                    2214.0000000 2680.63687  21.1%     -    9s
H    0     0                    2226.0000000 2680.63687  20.4%     -    9s
H    0     0                    2245.0000000 2680.63687  19.4%     -   10s
H    0     0                    2251.0000000 2680.63687  19.1%     -   10s
H    0     0                    2274.0000000 2680.63687  17.9%     -   10s
H    0     0                    2275.0000000 2680.63687  17.8%     -   10s
H    0     0                    2302.0000000 2680.63687  16.4%     -   11s
H    0     0                    2311.0000000 2680.63687  16.0%     -   11s
H    0     0                    2318.0000000 2680.63687  15.6%     -   12s
H    0     0                    2319.0000000 2680.63687  15.6%     -   15s
H    0     0                    2396.0000000 2680.63687  11.9%     -   16s
     0     0 2680.26881    0  475 2396.00000 2680.26881  11.9%     -   19s
H    0     0                    2407.0000000 2680.25836  11.4%     -   25s
     0     0 2680.20729    0  475 2407.00000 2680.20729  11.4%     -   32s
     0     0 2680.20708    0  476 2407.00000 2680.20708  11.4%     -   32s
     0     0 2680.14721    0  469 2407.00000 2680.14721  11.3%     -   34s
     0     0 2680.13483    0  470 2407.00000 2680.13483  11.3%     -   35s
     0     0 2680.13239    0  471 2407.00000 2680.13239  11.3%     -   35s
     0     0 2680.09754    0  480 2407.00000 2680.09754  11.3%     -   38s
     0     0 2680.09395    0  479 2407.00000 2680.09395  11.3%     -   38s
     0     0 2680.09070    0  482 2407.00000 2680.09070  11.3%     -   38s
     0     0 2680.09068    0  481 2407.00000 2680.09068  11.3%     -   38s
     0     2 2680.09001    0  481 2407.00000 2680.09001  11.3%     -   44s
     2     4 2673.02840    1  450 2407.00000 2678.67561  11.3%   534   45s
    11    13 2659.29228    6  454 2407.00000 2676.97077  11.2%   416   50s
    28    30 2664.14135   20  453 2407.00000 2676.97077  11.2%   304   55s
    42    44 2663.33617   29  455 2407.00000 2676.97077  11.2%   318   60s
    64    66 2657.14862   50  450 2407.00000 2676.97077  11.2%   266   65s
    86    88 2648.80906   67  442 2407.00000 2676.97077  11.2%   260   70s
   103   105 2638.12868   79  433 2407.00000 2676.97077  11.2%   265   75s
   129   131 2630.87150  102  421 2407.00000 2676.97077  11.2%   250   80s
