
Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:00:22 2025

Set parameter LogFile to value "log/instances/scenario4/fully_correlated_sc4/800/kpfs_6.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:01:45 2025

Set parameter LogFile to value "log/instances/scenario4/fully_correlated_sc4/800/kpfs_6.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:02:57 2025

Set parameter LogFile to value "log/instances/scenario4/fully_correlated_sc4/800/kpfs_6.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Fri Jun 20 03:16:26 2025

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2679381
Set parameter LogFile to value "log/instances/scenario4/fully_correlated_sc4/800/kpfs_6.txt.log"
Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Set parameter TimeLimit to value 1800
Set parameter Threads to value 1
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (linux64 - "Ubuntu 24.04.1 LTS")

CPU model: 13th Gen Intel(R) Core(TM) i7-1355U, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1800
Threads  1

Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Optimize a model with 2402 rows, 3200 columns and 55892 nonzeros
Model fingerprint: 0xf313f1a1
Variable types: 0 continuous, 3200 integer (800 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+01]
  Objective range  [2e+00, 4e+01]
  Bounds range     [1e+00, 4e+01]
  RHS range        [1e+00, 1e+03]
Found heuristic solution: objective 854.0000000
Presolve removed 0 rows and 86 columns
Presolve time: 0.39s
Presolved: 2402 rows, 3114 columns, 55720 nonzeros
Variable types: 0 continuous, 3114 integer (800 binary)

Root relaxation: objective 1.985872e+03, 2242 iterations, 1.48 seconds (0.54 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1985.87181    0  247  854.00000 1985.87181   133%     -    1s
H    0     0                    1317.0000000 1985.87181  50.8%     -    1s
H    0     0                    1322.0000000 1985.87181  50.2%     -    2s
H    0     0                    1492.0000000 1985.87181  33.1%     -    2s
H    0     0                    1533.0000000 1985.87181  29.5%     -    2s
H    0     0                    1561.0000000 1985.87181  27.2%     -    2s
H    0     0                    1564.0000000 1985.87181  27.0%     -    2s
H    0     0                    1565.0000000 1985.87181  26.9%     -    2s
H    0     0                    1658.0000000 1985.87181  19.8%     -    2s
H    0     0                    1769.0000000 1985.87181  12.3%     -    2s
H    0     0                    1845.0000000 1985.87181  7.64%     -    2s
H    0     0                    1849.0000000 1985.87181  7.40%     -    2s
H    0     0                    1856.0000000 1985.87181  7.00%     -    3s
H    0     0                    1861.0000000 1985.87181  6.71%     -    3s
H    0     0                    1875.0000000 1985.87181  5.91%     -    3s
H    0     0                    1876.0000000 1985.87181  5.86%     -    3s
H    0     0                    1878.0000000 1985.87181  5.74%     -    4s
H    0     0                    1879.0000000 1985.87181  5.69%     -    4s
     0     0 1985.19247    0  252 1879.00000 1985.19247  5.65%     -    5s
H    0     0                    1890.0000000 1985.18430  5.04%     -    9s
     0     0 1985.16657    0  252 1890.00000 1985.16657  5.04%     -   11s
     0     0 1984.98240    0  259 1890.00000 1984.98240  5.03%     -   11s
     0     0 1984.94860    0  260 1890.00000 1984.94860  5.02%     -   13s
     0     0 1984.94849    0  259 1890.00000 1984.94849  5.02%     -   13s
     0     0 1984.93209    0  262 1890.00000 1984.93209  5.02%     -   13s
     0     0 1984.93039    0  261 1890.00000 1984.93039  5.02%     -   14s
     0     0 1984.92541    0  259 1890.00000 1984.92541  5.02%     -   14s
     0     0 1984.92444    0  260 1890.00000 1984.92444  5.02%     -   14s
     0     0 1984.92337    0  258 1890.00000 1984.92337  5.02%     -   14s
     0     0 1984.92285    0  258 1890.00000 1984.92285  5.02%     -   15s
H    0     0                    1891.0000000 1984.92236  4.97%     -   18s
H    0     0                    1892.0000000 1984.92236  4.91%     -   20s
     0     2 1984.92236    0  258 1892.00000 1984.92236  4.91%     -   23s
     8    10 1978.45407    4  249 1892.00000 1984.17915  4.87%   178   25s
    97    99 1965.13930   80  230 1892.00000 1984.17915  4.87%  87.7   30s
   260   262 1935.23997  222  183 1892.00000 1984.17915  4.87%  68.0   35s
H  270   270                    1896.0000000 1984.17915  4.65%  68.4   38s
H  270   270                    1897.0000000 1984.17915  4.60%  68.4   38s
H  270   270                    1900.0000000 1984.17915  4.43%  68.4   44s
   270   272 1926.76735  229  172 1900.00000 1984.17915  4.43%  69.2   46s
   441   436 1978.97623    7  251 1900.00000 1984.15600  4.43%  57.7   50s
   516   510 1937.72631  208  258 1900.00000 1984.15600  4.43%  61.7   58s
   518   511 1951.51391  163  247 1900.00000 1984.15600  4.43%  61.5   62s
H  518   485                    1901.0000000 1984.15600  4.37%  61.5   68s
   523   489 1921.71038  286  258 1901.00000 1984.15600  4.37%  60.9   72s
   526   491 1983.76325    3  255 1901.00000 1984.15600  4.37%  60.5   75s
