
Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:00:21 2025

Set parameter LogFile to value "log/instances/scenario3/fully_correlated_sc3/700/kpfs_8.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:01:44 2025

Set parameter LogFile to value "log/instances/scenario3/fully_correlated_sc3/700/kpfs_8.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:02:55 2025

Set parameter LogFile to value "log/instances/scenario3/fully_correlated_sc3/700/kpfs_8.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Fri Jun 20 00:23:00 2025

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2679381
Set parameter LogFile to value "log/instances/scenario3/fully_correlated_sc3/700/kpfs_8.txt.log"
Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Set parameter TimeLimit to value 1800
Set parameter Threads to value 1
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (linux64 - "Ubuntu 24.04.1 LTS")

CPU model: 13th Gen Intel(R) Core(TM) i7-1355U, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1800
Threads  1

Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Optimize a model with 3502 rows, 4200 columns and 35624 nonzeros
Model fingerprint: 0x8c926d2b
Variable types: 0 continuous, 4200 integer (700 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+01]
  Objective range  [4e+00, 4e+01]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+03]
Found heuristic solution: objective 1260.0000000
Presolve removed 1 rows and 392 columns
Presolve time: 0.33s
Presolved: 3501 rows, 3808 columns, 34837 nonzeros
Variable types: 0 continuous, 3808 integer (700 binary)

Root relaxation: objective 1.988966e+03, 3057 iterations, 2.12 seconds (0.80 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1988.96647    0  365 1260.00000 1988.96647  57.9%     -    2s
H    0     0                    1264.0000000 1988.96647  57.4%     -    2s
H    0     0                    1367.0000000 1988.96647  45.5%     -    2s
H    0     0                    1422.0000000 1988.96647  39.9%     -    2s
H    0     0                    1425.0000000 1988.96647  39.6%     -    2s
H    0     0                    1426.0000000 1988.96647  39.5%     -    2s
H    0     0                    1431.0000000 1988.96647  39.0%     -    2s
H    0     0                    1504.0000000 1988.96647  32.2%     -    2s
H    0     0                    1546.0000000 1988.96647  28.7%     -    2s
H    0     0                    1673.0000000 1988.96647  18.9%     -    2s
H    0     0                    1749.0000000 1988.96647  13.7%     -    6s
     0     0 1988.65228    0  361 1749.00000 1988.65228  13.7%     -   10s
H    0     0                    1759.0000000 1988.60457  13.1%     -   13s
H    0     0                    1762.0000000 1988.60457  12.9%     -   17s
H    0     0                    1765.0000000 1988.60457  12.7%     -   18s
     0     0 1988.57774    0  362 1765.00000 1988.57774  12.7%     -   18s
     0     0 1988.54883    0  364 1765.00000 1988.54883  12.7%     -   18s
     0     0 1988.53347    0  363 1765.00000 1988.53347  12.7%     -   18s
     0     0 1988.53096    0  360 1765.00000 1988.53096  12.7%     -   18s
     0     0 1988.23372    0  364 1765.00000 1988.23372  12.6%     -   19s
     0     0 1987.83362    0  375 1765.00000 1987.83362  12.6%     -   22s
     0     0 1987.69051    0  375 1765.00000 1987.69051  12.6%     -   24s
     0     0 1987.66655    0  375 1765.00000 1987.66655  12.6%     -   25s
     0     0 1987.66363    0  376 1765.00000 1987.66363  12.6%     -   25s
     0     0 1987.64559    0  370 1765.00000 1987.64559  12.6%     -   27s
     0     0 1987.64166    0  374 1765.00000 1987.64166  12.6%     -   27s
     0     0 1987.62369    0  369 1765.00000 1987.62369  12.6%     -   28s
     0     0 1987.62069    0  370 1765.00000 1987.62069  12.6%     -   28s
     0     2 1987.54558    0  370 1765.00000 1987.54558  12.6%     -   31s
    17    19 1978.39738   11  358 1765.00000 1985.35555  12.5%   285   35s
    47    49 1970.16620   35  349 1765.00000 1985.35555  12.5%   211   40s
    88    90 1959.99367   70  342 1765.00000 1985.35555  12.5%   186   45s
   131   133 1939.73014  106  325 1765.00000 1985.35555  12.5%   181   50s
   188   190 1927.85597  155  302 1765.00000 1985.35555  12.5%   176   55s
   254   256 1881.43329  209  277 1765.00000 1985.35555  12.5%   170   60s
   301   303 1870.95613  243  288 1765.00000 1985.35555  12.5%   175   65s
H  374   374                    1769.0000000 1985.35555  12.2%   175   69s
H  374   374                    1773.0000000 1985.35555  12.0%   175   69s
   376   378 1828.20828  302  263 1773.00000 1985.35555  12.0%   175   70s
H  478   478                    1774.0000000 1985.35555  11.9%   153   74s
H  478   478                    1775.0000000 1985.35555  11.9%   153   74s
H  478   478                    1782.0000000 1985.35555  11.4%   153   76s
H  478   478                    1783.0000000 1985.35555  11.3%   153   76s
H  478   478                    1785.0000000 1985.35555  11.2%   153   76s
H  478   478                    1787.0000000 1985.35555  11.1%   153   76s
H  478   476                    1791.0000000 1985.35555  10.9%   153   77s
