
Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:00:18 2025

Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_3.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:01:41 2025

Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_3.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:02:52 2025

Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_3.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:03:56 2025

Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_3.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 09:07:17 2025

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2679381
Set parameter LogFile to value "log/instances/scenario3/correlated_sc3/1000/kpfs_3.txt.log"
Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Set parameter TimeLimit to value 1800
Set parameter Threads to value 1
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (linux64 - "Ubuntu 24.04.1 LTS")

CPU model: 13th Gen Intel(R) Core(TM) i7-1355U, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1800
Threads  1

Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Optimize a model with 5002 rows, 6000 columns and 65863 nonzeros
Model fingerprint: 0xe8426a9f
Variable types: 0 continuous, 6000 integer (1000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+01]
  Objective range  [1e+00, 4e+01]
  Bounds range     [1e+00, 2e+01]
  RHS range        [1e+00, 2e+03]
Found heuristic solution: objective 1453.0000000
Presolve removed 0 rows and 77 columns
Presolve time: 0.44s
Presolved: 5002 rows, 5923 columns, 65709 nonzeros
Variable types: 0 continuous, 5923 integer (1305 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    3376    2.7381897e+03   3.279559e+03   0.000000e+00      5s
    5519    2.6649413e+03   0.000000e+00   0.000000e+00      8s

Root relaxation: objective 2.664941e+03, 5519 iterations, 7.37 seconds (2.32 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2664.94131    0  464 1453.00000 2664.94131  83.4%     -    8s
H    0     0                    1457.0000000 2664.94131  82.9%     -    8s
H    0     0                    1663.0000000 2664.94131  60.2%     -    8s
H    0     0                    1823.0000000 2664.94131  46.2%     -    8s
H    0     0                    2063.0000000 2664.94131  29.2%     -    8s
H    0     0                    2186.0000000 2664.94131  21.9%     -    8s
H    0     0                    2201.0000000 2664.94131  21.1%     -    9s
H    0     0                    2232.0000000 2664.94131  19.4%     -   11s
H    0     0                    2233.0000000 2664.94131  19.3%     -   11s
H    0     0                    2238.0000000 2664.94131  19.1%     -   12s
H    0     0                    2242.0000000 2664.94131  18.9%     -   12s
H    0     0                    2268.0000000 2664.94131  17.5%     -   13s
H    0     0                    2347.0000000 2664.94131  13.5%     -   15s
H    0     0                    2395.0000000 2664.94131  11.3%     -   16s
     0     0 2664.50796    0  469 2395.00000 2664.50796  11.3%     -   19s
H    0     0                    2396.0000000 2664.49432  11.2%     -   30s
     0     0 2664.26825    0  472 2396.00000 2664.26825  11.2%     -   34s
     0     0 2664.26006    0  471 2396.00000 2664.26006  11.2%     -   34s
     0     0 2664.25841    0  471 2396.00000 2664.25841  11.2%     -   34s
     0     0 2664.25821    0  474 2396.00000 2664.25821  11.2%     -   34s
     0     0 2664.16501    0  470 2396.00000 2664.16501  11.2%     -   37s
     0     0 2664.15740    0  472 2396.00000 2664.15740  11.2%     -   37s
     0     0 2664.15740    0  475 2396.00000 2664.15740  11.2%     -   37s
     0     0 2664.14015    0  473 2396.00000 2664.14015  11.2%     -   40s
     0     0 2664.13672    0  475 2396.00000 2664.13672  11.2%     -   40s
     0     0 2664.13649    0  475 2396.00000 2664.13649  11.2%     -   40s
     0     0 2664.12137    0  473 2396.00000 2664.12137  11.2%     -   43s
     0     0 2664.11845    0  477 2396.00000 2664.11845  11.2%     -   43s
     0     0 2664.11805    0  477 2396.00000 2664.11805  11.2%     -   43s
     0     0 2664.10458    0  475 2396.00000 2664.10458  11.2%     -   46s
     0     0 2664.10080    0  475 2396.00000 2664.10080  11.2%     -   46s
H    0     0                    2399.0000000 2664.10080  11.1%     -   49s
H    0     0                    2405.0000000 2664.10080  10.8%     -   49s
H    0     0                    2407.0000000 2664.10080  10.7%     -   49s
     0     2 2664.10060    0  475 2407.00000 2664.10060  10.7%     -   50s
     9    11 2653.24355    5  458 2407.00000 2662.39902  10.6%   398   55s
    31    33 2656.85677   25  455 2407.00000 2662.39902  10.6%   263   60s
    48    50 2650.43539   39  457 2407.00000 2662.39902  10.6%   265   65s
    57    59 2642.08902   43  452 2407.00000 2662.39902  10.6%   293   70s
H   78    78                    2408.0000000 2662.39902  10.6%   250   79s
