
Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:00:18 2025

Set parameter LogFile to value "log/instances/scenario4/not_correlated_sc4/1000/kpfs_2.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:01:41 2025

Set parameter LogFile to value "log/instances/scenario4/not_correlated_sc4/1000/kpfs_2.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:02:52 2025

Set parameter LogFile to value "log/instances/scenario4/not_correlated_sc4/1000/kpfs_2.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:03:56 2025

Set parameter LogFile to value "log/instances/scenario4/not_correlated_sc4/1000/kpfs_2.txt.log"

Gurobi 12.0.2 (linux64, C++) logging started Thu Jun 19 08:37:17 2025

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2679381
Set parameter LogFile to value "log/instances/scenario4/not_correlated_sc4/1000/kpfs_2.txt.log"
Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Set parameter TimeLimit to value 1800
Set parameter Threads to value 1
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (linux64 - "Ubuntu 24.04.1 LTS")

CPU model: 13th Gen Intel(R) Core(TM) i7-1355U, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1800
Threads  1

Academic license 2679381 - for non-commercial use only - registered to be___@poli.ufrj.br
Optimize a model with 3002 rows, 4000 columns and 85819 nonzeros
Model fingerprint: 0x65988660
Variable types: 0 continuous, 4000 integer (1000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+01]
  Objective range  [1e+00, 3e+01]
  Bounds range     [1e+00, 5e+01]
  RHS range        [1e+00, 2e+03]
Found heuristic solution: objective 667.0000000
Presolve removed 0 rows and 56 columns
Presolve time: 0.88s
Presolved: 3002 rows, 3944 columns, 85707 nonzeros
Variable types: 0 continuous, 3944 integer (1045 binary)

Root relaxation: objective 1.693665e+03, 1340 iterations, 1.47 seconds (0.36 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1693.66461    0  204  667.00000 1693.66461   154%     -    2s
H    0     0                     810.0000000 1693.66461   109%     -    2s
H    0     0                    1252.0000000 1693.66461  35.3%     -    2s
H    0     0                    1296.0000000 1693.66461  30.7%     -    2s
H    0     0                    1313.0000000 1693.66461  29.0%     -    2s
H    0     0                    1368.0000000 1693.66461  23.8%     -    2s
H    0     0                    1382.0000000 1693.66461  22.6%     -    2s
H    0     0                    1501.0000000 1693.66461  12.8%     -    2s
H    0     0                    1510.0000000 1693.66461  12.2%     -    3s
H    0     0                    1525.0000000 1693.66461  11.1%     -    3s
H    0     0                    1541.0000000 1693.66461  9.91%     -    4s
H    0     0                    1543.0000000 1693.66461  9.76%     -    4s
H    0     0                    1548.0000000 1693.66461  9.41%     -    4s
H    0     0                    1550.0000000 1693.66461  9.27%     -    4s
H    0     0                    1551.0000000 1693.66461  9.20%     -    5s
H    0     0                    1556.0000000 1693.66461  8.85%     -    5s
H    0     0                    1561.0000000 1693.66461  8.50%     -    5s
H    0     0                    1568.0000000 1693.66461  8.01%     -    5s
     0     0 1692.24999    0  210 1568.00000 1692.24999  7.92%     -    7s
H    0     0                    1576.0000000 1692.21000  7.37%     -    9s
     0     0 1692.19990    0  208 1576.00000 1692.19990  7.37%     -   15s
     0     0 1692.19551    0  210 1576.00000 1692.19551  7.37%     -   15s
     0     0 1692.19404    0  211 1576.00000 1692.19404  7.37%     -   16s
     0     0 1691.54398    0  211 1576.00000 1691.54398  7.33%     -   19s
     0     0 1691.50886    0  217 1576.00000 1691.50886  7.33%     -   19s
     0     0 1691.49253    0  214 1576.00000 1691.49253  7.33%     -   19s
     0     0 1691.49145    0  218 1576.00000 1691.49145  7.33%     -   19s
     0     0 1691.27681    0  214 1576.00000 1691.27681  7.31%     -   20s
     0     0 1691.18741    0  217 1576.00000 1691.18741  7.31%     -   21s
     0     0 1691.17329    0  219 1576.00000 1691.17329  7.31%     -   21s
     0     0 1691.17293    0  217 1576.00000 1691.17293  7.31%     -   21s
     0     0 1691.16232    0  217 1576.00000 1691.16232  7.31%     -   22s
     0     0 1691.15859    0  219 1576.00000 1691.15859  7.31%     -   22s
     0     0 1691.10116    0  216 1576.00000 1691.10116  7.30%     -   23s
     0     0 1691.09292    0  216 1576.00000 1691.09292  7.30%     -   23s
     0     0 1691.08331    0  218 1576.00000 1691.08331  7.30%     -   23s
     0     0 1691.07995    0  214 1576.00000 1691.07995  7.30%     -   23s
     0     0 1691.07995    0  216 1576.00000 1691.07995  7.30%     -   23s
     0     0 1691.07510    0  219 1576.00000 1691.07510  7.30%     -   24s
     0     0 1691.07219    0  219 1576.00000 1691.07219  7.30%     -   25s
     0     2 1691.00000    0  219 1576.00000 1691.00000  7.30%     -   27s
    19    21 1671.66346   12  204 1576.00000 1688.19945  7.12%   128   30s
    26    28 1671.98190   18  198 1576.00000 1688.19945  7.12%   112   56s
